1008-HV-C-L-01,8,0,96,0,895,0,101,8900,1
1010-HV-C-L-01,9,0,115,0,882,0,96,8898,1
1011-HV-C-L-01,3,0,100,0,778,0,83,9036,1
1025-HV-C-L-01,5,0,79,0,793,0,95,9028,1
1028-HV-C-L-01,10,0,78,0,803,0,73,9036,1
1029-HV-C-L-01,8,0,99,0,819,0,112,8962,1
1030-HV-C-L-01,7,0,79,0,822,0,104,8988,1
1037-HV-C-L-01,6,0,83,0,868,0,71,8972,1
1053-HV-C-L-01,10,0,88,0,872,0,86,8944,1
1054-HV-C-L-01,3,0,115,0,845,0,101,8936,1
1058-HV-C-L-01,3,0,46,0,533,0,54,9364,1
1059-HV-C-L-01,4,0,97,0,856,0,97,8946,1
1060-HV-C-L-01,6,0,81,0,792,0,99,9022,1
1065-HV-C-L-01,2,0,107,0,885,0,96,8910,1
1070-HV-C-L-01,1,0,55,0,610,0,66,9268,1
1072-HV-C-L-01,4,0,109,0,796,0,104,8987,1
1073-HV-C-L-01,9,0,76,0,849,0,101,8965,1
1075-HV-C-L-01,2,0,73,0,765,0,84,9076,1
1076-HV-C-L-01,2,0,57,0,521,0,54,9366,1
1077-HV-C-L-01,8,0,106,0,752,0,101,9033,1
1086-HV-C-L-01,6,0,65,0,802,0,72,9055,1
1094-HV-C-L-01,5,0,33,0,516,0,40,9406,1
1096-HV-C-L-01,4,0,53,0,623,0,54,9266,1
1097-HV-C-L-01,7,0,88,0,846,0,101,8958,1
1107-HV-C-L-01,4,0,79,0,830,0,99,8988,1
1108-HV-C-L-01,10,0,100,0,921,0,111,8858,1
1109-HV-C-L-01,2,0,58,0,734,0,74,9132,1
1113-HV-C-L-01,6,0,97,0,902,0,105,8890,1
1118-HV-C-L-01,4,0,97,0,623,0,90,9186,1
1123-HV-C-L-01,6,0,100,0,762,0,111,9021,1
1125-HV-C-L-01,4,0,89,0,726,0,91,9090,1
1126-HV-C-L-01,4,0,62,0,671,0,75,9188,1
1128-HV-C-L-01,11,0,111,0,872,0,113,8893,1
1129-HV-C-L-01,6,0,71,0,788,0,85,9050,1
1130-HV-C-L-01,6,0,105,0,774,0,111,9004,1
1131-HV-C-L-01,3,0,74,0,831,0,88,9004,1
1133-HV-C-L-01,5,0,75,0,692,0,88,9140,1
1134-HV-C-L-01,1,0,119,0,878,0,112,8890,1
1135-HV-C-L-01,7,0,107,0,980,0,128,8778,1
1136-HV-C-L-01,1,0,90,0,730,0,91,9088,1
1137-HV-C-L-01,10,0,93,0,809,0,110,8978,1
1147-HV-C-L-01,3,0,51,0,578,0,54,9314,1
1148-HV-C-L-01,3,0,56,0,780,0,69,9092,1
1149-HV-C-L-01,6,0,34,0,517,0,45,9398,1
1150-HV-C-L-01,10,0,82,0,788,0,74,9046,1
1151-HV-C-L-01,5,0,113,0,810,0,94,8978,1
1152-HV-C-L-01,1,0,77,0,796,0,88,9038,1
1153-HV-C-L-01,13,0,109,0,891,0,108,8879,1
1197-HV-C-L-01,8,0,70,0,912,0,90,8920,1
1200-HV-C-L-01,5,0,86,0,668,0,85,9156,1
