1001-HV-C-L-01,1846,559,4629,1804,7103,2054,5323,16682,-1
1001-HV-C-L-02,1791,581,4923,1904,7316,2055,5420,16010,-1
1001-HV-C-L-03,2294,776,4766,2754,6562,2284,5365,15199,-1
1001-HV-C-L-04,2083,806,4734,2525,6724,2258,5271,15599,-1
1001-HV-C-L-05,1844,722,4864,2398,6982,2123,5234,15833,-1
1001-HV-C-L-06,2087,728,4907,2692,6868,2215,5267,15236,-1
1001-HV-C-L-07,2106,772,4756,2756,6962,2300,5168,15180,-1
1001-HV-C-L-08,1875,603,4816,2101,6963,2046,5294,16302,-1
1001-HV-C-L-09,2245,788,4665,2794,6959,2266,5304,14979,-1
1002-HV-C-L-01,2235,444,4086,1352,5486,1515,4995,19887,-1
1002-HV-C-L-02,2432,549,4222,1743,5522,1609,4918,19005,-1
1002-HV-C-L-03,1631,158,3923,711,5973,1479,4596,21529,-1
1002-HV-C-L-04,1656,155,3726,750,6103,1369,4681,21560,-1
1002-HV-C-L-05,2029,491,4186,1375,5644,1454,4916,19905,-1
1002-HV-C-L-06,1617,124,3759,692,6099,1528,4590,21591,-1
1003-HV-C-L-01,1644,495,4307,1522,5867,1734,4700,19731,-1
1003-HV-C-L-02,1884,427,3355,2862,7943,1770,3864,17895,-1
1003-HV-C-L-03,1735,376,4205,1221,6124,1622,4863,19854,-1
1003-HV-C-L-04,1433,224,3905,1017,6412,1422,4576,21011,-1
1003-HV-C-L-05,1740,270,3949,984,6023,1475,4726,20833,-1
1003-HV-C-L-06,2017,221,4098,1057,5578,1690,5034,20305,-1
1004-HV-C-L-01,1568,140,4274,835,6209,1484,4889,20601,-1
1004-HV-C-L-02,1702,151,3930,765,6133,1584,4625,21110,-1
1004-HV-C-L-03,1517,129,4091,816,6709,1432,4627,20679,-1
1004-HV-C-L-04,1714,135,4040,854,6397,1628,4774,20458,-1
1004-HV-C-L-05,1661,159,4128,821,6323,1612,4964,20332,-1
1004-HV-C-L-06,1777,190,4186,892,6199,1611,5103,20042,-1
1005-HV-C-L-01,1588,630,4709,2754,8818,2192,4790,14519,-1
1005-HV-C-L-02,1440,565,4407,2463,9605,1913,4774,14833,-1
1005-HV-C-L-03,1418,488,4470,2533,9722,1940,4521,14908,-1
1005-HV-C-L-04,1596,573,4514,2539,9448,2081,4711,14538,-1
1005-HV-C-L-05,1447,554,4483,2433,9399,2018,4664,15002,-1
1005-HV-C-L-06,1560,592,4615,2461,8960,2028,4908,14876,-1
1005-HV-C-L-07,1320,361,4396,1610,8939,1584,4646,17144,-1
1006-HV-C-L-01,1635,420,4290,1488,7520,1698,4979,17970,-1
1006-HV-C-L-02,1998,566,4237,1556,6635,1937,5108,17963,-1
1006-HV-C-L-03,1696,492,4375,1621,6805,1694,5092,18225,-1
1006-HV-C-L-04,1527,219,4495,1147,7805,1389,5072,18346,-1
1006-HV-C-L-05,1593,272,4387,1139,8064,1576,5035,17934,-1
1006-HV-C-L-06,1582,286,4511,1215,7693,1549,5185,17979,-1
1006-HV-C-L-07,1349,237,4468,1064,7409,1498,5040,18935,-1
1007-HV-C-L-01,1967,526,3947,1817,7587,1913,4845,17398,-1
1007-HV-C-L-02,1973,234,4338,1202,6054,1620,5212,19367,-1
1007-HV-C-L-03,1943,333,4281,1251,5970,1640,5329,19253,-1
1007-HV-C-L-04,2175,386,4191,1379,5773,1890,5487,18719,-1
1007-HV-C-L-05,2200,536,4170,1535,6009,1883,5282,18385,-1
1007-HV-C-L-06,1958,391,4389,1339,6110,1575,5471,18767,-1
1007-HV-C-L-07,2307,556,4320,1625,5858,1841,5632,17861,-1
1009-HV-C-L-01,1465,895,5189,5296,9537,2918,4613,10087,-1
1009-HV-C-L-02,1441,920,5115,5513,9902,2879,4211,10019,-1
1009-HV-C-L-03,1437,820,5170,4246,9792,2791,4865,10879,-1
1009-HV-C-L-04,1647,884,5473,4587,8833,2750,4973,10853,-1
1009-HV-C-L-05,1535,899,5113,4712,9262,2783,4803,10893,-1
1009-HV-C-L-06,1631,850,5209,4173,8906,2663,5001,11567,-1
1009-HV-C-L-07,1656,861,5092,4142,9068,2446,4903,11832,-1
1009-HV-C-L-08,1562,863,5060,4318,9322,2599,4848,11428,-1
